SID,CNT,SHOW_TYPE
305,8136,2
305,8136,4
305,8136,2
305,8136,4
3701,6043,2
3701,6043,2
3701,6043,4
3701,6043,2
3701,6043,4
1203,3992,2
1203,3992,2
1203,3992,4
1203,3992,2
1203,3992,4
1503,2636,2
1503,2636,2
1503,2636,4
1503,2636,2
1503,2636,4
4202,618,2
4202,618,2
4202,618,4
4202,618,2
4202,618,4
304,283,2
304,283,2
304,283,4
304,283,2
304,283,4
309,263,2
309,263,2
309,263,4
309,263,2
309,263,4
1904,181,2
1904,181,2
1904,181,4
1904,181,2
1904,181,4
307,173,2
307,173,2
307,173,4
307,173,2
307,173,4
65200,75,2
65200,75,2
65200,75,4
65200,75,2
65200,75,4
1406,1124692,4
202,228344,4
4601,129189,4
65200,76001,4
3704,51610,4
208,19349,4
1001,13279,4
4202,12076,4
1403,8971,4
4401,6443,4
3702,3323,4
1806,2612,4
306,2412,4
1902,1145,4
1903,879,4
4102,858,4
4302,267,4
1204,228,4
1202,114,4
1308,80,4
65200,1109326,1
65200,1109326,1
65200,1109326,1
65200,1109326,1
65200,1109326,1
65200,1109326,1
65200,1109326,9
4301,320559,1
4301,320559,1
4301,320559,1
4301,320559,1
4301,320559,1
4301,320559,1
4301,320559,9
4601,257247,1
4601,257247,1
4601,257247,1
4601,257247,1
4601,257247,1
4601,257247,1
4601,257247,9
3101,235184,1
3101,235184,1
3101,235184,1
3101,235184,1
3101,235184,1
3101,235184,1
3101,235184,9
7301,210435,1
7301,210435,1
7301,210435,1
7301,210435,1
7301,210435,1
7301,210435,1
7301,210435,9
4401,61848,1
4401,61848,1
4401,61848,1
4401,61848,1
4401,61848,1
4401,61848,1
4401,61848,9
1405,49961,1
1405,49961,1
1405,49961,1
1405,49961,1
1405,49961,1
1405,49961,1
1405,49961,9
3703,36432,1
3703,36432,1
3703,36432,1
3703,36432,1
3703,36432,1
3703,36432,1
3703,36432,9
3704,18657,1
3704,18657,1
3704,18657,1
3704,18657,1
3704,18657,1
3704,18657,1
3704,18657,9
3304,4349,1
3304,4349,1
3304,4349,1
3304,4349,1
3304,4349,1
3304,4349,1
3304,4349,9
3103,2977,1
3103,2977,1
3103,2977,1
3103,2977,1
3103,2977,1
3103,2977,1
3103,2977,9
4801,1812,1
4801,1812,1
4801,1812,1
4801,1812,1
4801,1812,1
4801,1812,1
4801,1812,9
3702,1611,1
3702,1611,1
3702,1611,1
3702,1611,1
3702,1611,1
3702,1611,1
3702,1611,9
3201,1168,1
3201,1168,1
3201,1168,1
3201,1168,1
3201,1168,1
3201,1168,1
3201,1168,9
7304,211,1
7304,211,1
7304,211,1
7304,211,1
7304,211,1
7304,211,1
7304,211,9
4602,24,1
4602,24,1
4602,24,1
4602,24,1
4602,24,1
4602,24,1
4602,24,9
5901,21,1
5901,21,1
5901,21,1
5901,21,1
5901,21,1
5901,21,1
5901,21,9
3503,14,1
3503,14,1
3503,14,1
3503,14,1
3503,14,1
3503,14,1
3503,14,9
4703,14,1
4703,14,1
4703,14,1
4703,14,1
4703,14,1
4703,14,1
4703,14,9
4604,14,1
4604,14,1
4604,14,1
4604,14,1
4604,14,1
4604,14,1
4604,14,9
4202,1107600,1
1507,221145,1
65200,185993,1
3703,125070,1
802,97449,1
3701,55154,1
801,42832,1
1503,40475,1
3101,40186,1
4401,31613,1
4404,26116,1
1704,24789,1
3401,22608,1
3301,17893,1
4801,15876,1
1405,15442,1
2901,15008,1
3703,14404,1
1501,9438,1
1205,7678,1
3703,1063298,2
3703,1063298,2
3703,1063298,2
3703,1063298,2
3104,379312,2
3104,379312,2
3104,379312,2
3104,379312,2
65200,269111,2
65200,269111,2
65200,269111,2
65200,269111,2
7301,235483,2
7301,235483,2
7301,235483,2
7301,235483,2
4404,114867,2
4404,114867,2
4404,114867,2
4404,114867,2
3203,78969,2
3203,78969,2
3203,78969,2
3203,78969,2
3103,65241,2
3103,65241,2
3103,65241,2
3103,65241,2
7304,2893,2
7304,2893,2
7304,2893,2
7304,2893,2
4801,789,2
4801,789,2
4801,789,2
4801,789,2
3801,630,2
3801,630,2
3801,630,2
3801,630,2
4203,614,2
4203,614,2
4203,614,2
4203,614,2
4102,561,2
4102,561,2
4102,561,2
4102,561,2
3802,350,2
3802,350,2
3802,350,2
3802,350,2
308,280,2
308,280,2
308,280,2
308,280,2
7501,97,2
7501,97,2
7501,97,2
7501,97,2
3602,91,2
3602,91,2
3602,91,2
3602,91,2
202,67,2
202,67,2
202,67,2
202,67,2
305,64,2
305,64,2
305,64,2
305,64,2
1208,60,2
1208,60,2
1208,60,2
1208,60,2
206,52,2
206,52,2
206,52,2
206,52,2
1803,1057604,2
1803,1057604,2
1803,1057604,2
1803,1057604,2
2102,722380,2
2102,722380,2
2102,722380,2
2102,722380,2
65200,137804,2
65200,137804,2
