,0,1,2,3
78,95.0,514.0,0.0001466819533055976,2.0
79,130.0,328.0,0.00014962946698164522,2.0
80,115.0,494.0,0.00015076671063281498,2.0
81,957.0,966.0,0.00015093493690293558,2.0
82,485.0,1051.0,0.00015643843855163433,3.0
83,618.0,680.0,0.0001573391571865351,2.0
84,142.0,785.0,0.00015733915718656074,2.0
85,72.0,465.0,0.00016146784962066914,2.0
86,153.0,434.0,0.0001661042548310659,2.0
87,340.0,971.0,0.0001661042548310659,2.0
88,407.0,1040.0,0.00016817389422132142,3.0
89,939.0,999.0,0.00017105959515661961,2.0
90,829.0,857.0,0.0001712071301662147,2.0
91,540.0,1026.0,0.00017409040193736483,3.0
92,98.0,616.0,0.00017662889927184331,2.0
93,702.0,837.0,0.00017673607526883265,2.0
94,94.0,513.0,0.00017673607526885548,2.0
95,534.0,736.0,0.0001811219242834894,2.0
96,182.0,1046.0,0.00018174919984489038,4.0
97,666.0,1044.0,0.0001830218202311712,3.0
98,518.0,1076.0,0.00018398704956523512,3.0
99,593.0,943.0,0.00019118425341030365,2.0
100,399.0,533.0,0.00019118425341035916,2.0
101,178.0,744.0,0.00019514814845411401,2.0
102,273.0,438.0,0.0001951481484541449,2.0
103,411.0,455.0,0.00020124658253717342,2.0
104,997.0,1077.0,0.00020914158348243122,3.0
105,1013.0,1071.0,0.00021120504812182684,5.0
106,56.0,824.0,0.000213957555070721,2.0
107,37.0,722.0,0.00021686565708930913,2.0
108,65.0,119.0,0.0002179422756152516,2.0
109,486.0,548.0,0.00021886945280279795,2.0
110,1045.0,1082.0,0.0002208369877501902,5.0
111,221.0,847.0,0.00022137124079091297,2.0
112,419.0,454.0,0.00022367408698101586,2.0
113,28.0,173.0,0.00022367408698102938,2.0
114,1052.0,1085.0,0.00022647223628445822,4.0
115,132.0,257.0,0.00023233352194126951,2.0
116,557.0,1006.0,0.0002361611515921712,3.0
117,9.0,1070.0,0.0002378338020448782,4.0
118,586.0,1090.0,0.00023818902563276355,3.0
119,459.0,1059.0,0.0002418537327839444,3.0
120,93.0,1088.0,0.00024434389639307197,4.0
121,584.0,1056.0,0.00024559209811700453,3.0
122,615.0,646.0,0.00024821518998366376,2.0
123,726.0,1053.0,0.00024866490638884354,3.0
124,884.0,1037.0,0.00025964504524683685,3.0
125,40.0,703.0,0.0002651041129032718,2.0
126,1058.0,1061.0,0.0002663185418374605,6.0
127,673.0,1078.0,0.0002672364677830959,3.0
128,759.0,833.0,0.00027326194546737205,2.0
129,126.0,613.0,0.0002770563491340503,2.0
130,386.0,1086.0,0.0002904744215033553,3.0
131,940.0,1073.0,0.00029134424656436525,3.0
132,167.0,1116.0,0.00029579880865768867,4.0
133,574.0,575.0,0.00029664629187515574,2.0
134,460.0,1091.0,0.0002976334994608242,4.0
135,165.0,754.0,0.00029925893396326344,2.0
136,306.0,622.0,0.00030186987380581565,2.0
137,891.0,1047.0,0.000307902886793574,3.0
138,222.0,951.0,0.00031789987855495574,2.0
139,270.0,950.0,0.0003252984856338873,2.0
140,1064.0,1092.0,0.0003270398572165125,5.0
141,256.0,1074.0,0.00032858574932661584,4.0
142,113.0,504.0,0.0003328368634348515,2.0
143,734.0,1080.0,0.0003359722505910585,3.0
144,822.0,926.0,0.00034211919031323923,2.0
145,81.0,1123.0,0.0003541763263626047,4.0
146,228.0,836.0,0.00035959626113750794,2.0
147,724.0,783.0,0.00036421213410852885,2.0
148,467.0,760.0,0.00036945670140559907,2.0
149,68.0,1141.0,0.0003736649600119268,5.0
150,1067.0,1083.0,0.00037509073984530136,4.0
151,1039.0,1097.0,0.00037858523230966274,5.0
152,287.0,890.0,0.0003843486911433998,2.0
153,1087.0,1120.0,0.0003943611517560295,6.0
154,721.0,797.0,0.0004089968170053858,2.0
155,1042.0,1096.0,0.00041976192446991744,6.0
156,473.0,782.0,0.00042275222214079803,2.0
157,961.0,1021.0,0.00042343432613120975,3.0
158,303.0,647.0,0.00042881636277495693,2.0
159,608.0,1095.0,0.00042990214382497614,3.0
160,1062.0,1124.0,0.0004486647959155446,5.0
161,508.0,1054.0,0.00045351689235254716,3.0
162,989.0,1010.0,0.00046475907440538135,3.0
163,1063.0,1145.0,0.00047072908830394133,6.0
164,1012.0,1105.0,0.00047922891321348476,7.0
165,1049.0,1126.0,0.00048210981439844976,8.0
166,99.0,612.0,0.00048513563329781565,2.0
167,369.0,1112.0,0.000498334996367355,3.0
168,1101.0,1118.0,0.0005065586957111675,5.0
169,162.0,310.0,0.0005083343555496301,2.0
170,956.0,1098.0,0.00053133911495048,4.0
171,777.0,970.0,0.0005333034437235706,2.0
172,97.0,1075.0,0.0005380633654589618,3.0
173,296.0,1009.0,0.0005410158808864275,3.0
